file,eplib,shape,nnodes,ranks,pol,cap,tok,pair_avg_us,pair_p50_us,rep2_avg_us,disp_us,comb_us,disp_kib
a2a-deepep_v1-dsv3-n1-nogin-cap1024-sm0.json,deepep_v1,dsv3,1,8,sglang,1024,4,41.42,39.9,41.63,29.73,11.69,231.5
a2a-deepep_v1-dsv3-n1-nogin-cap1024-sm0.json,deepep_v1,dsv3,1,8,sglang,1024,8,41.87,40.26,42.24,30.83,11.04,463.0
a2a-deepep_v1-dsv3-n1-nogin-cap1024-sm0.json,deepep_v1,dsv3,1,8,sglang,1024,16,42.66,41.7,42.16,30.37,12.29,926.0
a2a-deepep_v1-dsv3-n1-nogin-cap1024-sm0.json,deepep_v1,dsv3,1,8,sglang,1024,32,50.9,50.27,50.72,29.95,20.95,1852.0
a2a-deepep_v1-dsv3-n1-nogin-cap1024-sm0.json,deepep_v1,dsv3,1,8,sglang,1024,128,110.42,110.34,111.38,42.92,67.5,7408.0
a2a-deepep_v1-dsv3-n1-nogin-capnative-sm0.json,deepep_v1,dsv3,1,8,bench-native,4,4,40.45,39.65,,30.37,10.09,231.5
a2a-deepep_v1-dsv3-n1-nogin-capnative-sm0.json,deepep_v1,dsv3,1,8,bench-native,8,8,90.28,86.21,,37.7,52.59,463.0
a2a-deepep_v1-dsv3-n1-nogin-capnative-sm0.json,deepep_v1,dsv3,1,8,bench-native,16,16,42.18,41.41,,29.86,12.32,926.0
a2a-deepep_v1-dsv3-n1-nogin-capnative-sm0.json,deepep_v1,dsv3,1,8,bench-native,32,32,50.91,50.5,,31.27,19.64,1852.0
a2a-deepep_v1-dsv3-n1-nogin-capnative-sm0.json,deepep_v1,dsv3,1,8,bench-native,128,128,109.64,109.5,,70.25,39.39,7408.0
a2a-deepep_v1-dsv4-n1-nogin-cap1024-sm0.json,deepep_v1,dsv4,1,8,sglang,1024,4,42.41,40.96,42.32,28.38,14.03,99.4
a2a-deepep_v1-dsv4-n1-nogin-cap1024-sm0.json,deepep_v1,dsv4,1,8,sglang,1024,8,41.96,40.54,41.57,31.0,10.95,198.8
a2a-deepep_v1-dsv4-n1-nogin-cap1024-sm0.json,deepep_v1,dsv4,1,8,sglang,1024,16,42.43,41.41,41.54,28.87,13.55,397.5
a2a-deepep_v1-dsv4-n1-nogin-cap1024-sm0.json,deepep_v1,dsv4,1,8,sglang,1024,32,42.07,41.09,42.31,30.23,11.84,795.0
a2a-deepep_v1-dsv4-n1-nogin-cap1024-sm0.json,deepep_v1,dsv4,1,8,sglang,1024,128,63.86,63.81,63.44,31.3,32.56,3180.0
a2a-deepep_v1-dsv4-n1-nogin-capnative-sm0.json,deepep_v1,dsv4,1,8,bench-native,4,4,40.52,39.26,,30.18,10.35,99.4
a2a-deepep_v1-dsv4-n1-nogin-capnative-sm0.json,deepep_v1,dsv4,1,8,bench-native,8,8,41.96,40.03,,31.76,10.2,198.8
a2a-deepep_v1-dsv4-n1-nogin-capnative-sm0.json,deepep_v1,dsv4,1,8,bench-native,16,16,40.43,39.39,,29.82,10.61,397.5
a2a-deepep_v1-dsv4-n1-nogin-capnative-sm0.json,deepep_v1,dsv4,1,8,bench-native,32,32,42.49,40.64,,30.12,12.37,795.0
a2a-deepep_v1-dsv4-n1-nogin-capnative-sm0.json,deepep_v1,dsv4,1,8,bench-native,128,128,63.44,62.85,,30.7,32.74,3180.0
a2a-deepep_v2-dsv3-n1-gda-cap1024-sm0.json,deepep_v2,dsv3,1,8,sglang,1024,4,97.84,93.38,94.14,65.62,32.23,231.5
a2a-deepep_v2-dsv3-n1-gda-cap1024-sm0.json,deepep_v2,dsv3,1,8,sglang,1024,8,94.9,92.06,105.1,65.54,29.36,463.0
a2a-deepep_v2-dsv3-n1-gda-cap1024-sm0.json,deepep_v2,dsv3,1,8,sglang,1024,16,97.41,93.47,97.53,67.06,30.35,926.0
a2a-deepep_v2-dsv3-n1-gda-cap1024-sm0.json,deepep_v2,dsv3,1,8,sglang,1024,32,101.61,97.76,100.98,66.9,34.71,1852.0
